0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.064,0.064,0.062,0.059,0.06,0.058,0.058,0.058,0.058,0.059,0.059
B,0.068,0.063,0.061,0.061,0.061,0.061,0.06,0.06,0.06,0.06,0.06,0.061
C,0.058,0.057,0.062,0.061,0.06,0.062,0.062,0.062,0.061,0.059,0.06,0.06
D,0.06,0.059,0.06,0.063,0.06,0.063,0.064,0.061,0.061,0.061,0.06,0.061
E,0.064,0.063,0.063,0.061,0.062,0.061,0.063,0.062,0.062,0.061,0.061,0.06
F,0.063,0.06,0.064,0.061,0.062,0.062,0.064,0.062,0.06,0.06,0.06,0.059
G,0.061,0.061,0.061,0.061,0.063,0.063,0.062,0.061,0.062,0.062,0.06,0.059
H,0.062,0.063,0.06,0.063,0.061,0.061,0.059,0.063,0.061,0.062,0.061,0.061
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
B,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
C,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
D,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
E,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
F,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
G,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
H,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
B,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
C,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
D,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
E,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
F,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
G,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
H,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88,TH88
