0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.053,0.048,0.045,0.045,0.053,0.044,0.044,0.045,0.045,0.045,0.049,0.062
B,0.048,0.059,0.048,0.047,0.048,0.046,0.049,0.047,0.049,0.047,0.047,0.053
C,0.045,0.05,0.049,0.044,0.047,0.048,0.052,0.046,0.047,0.046,0.047,0.045
D,0.047,0.048,0.046,0.051,0.046,0.047,0.048,0.049,0.047,0.049,0.055,0.048
E,0.048,0.047,0.048,0.045,0.045,0.047,0.045,0.047,0.053,0.047,0.047,0.046
F,0.047,0.047,0.046,0.046,0.046,0.045,0.045,0.047,0.047,0.047,0.049,0.046
G,0.047,0.054,0.049,0.046,0.047,0.047,0.046,0.046,0.048,0.049,0.047,0.047
H,0.084,0.053,0.047,0.047,0.047,0.046,0.046,0.046,0.047,0.047,0.047,0.047
,,,,,,,,,,,,
IPTG (μM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (μM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
