Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0:39:10,0.068,0.065,0.06,0.062,0.056,0.058,0.054,0.061,0.055,0.055,0.055,0.057,0.071,0.072,0.065,0.064,0.062,0.062,0.06,0.061,0.058,0.058,0.058,0.056,0.069,0.07,0.068,0.063,0.061,0.063,0.06,0.062,0.058,0.057,0.057,0.055,0.072,0.072,0.067,0.068,0.062,0.07,0.061,0.062,0.058,0.059,0.057,0.058,0.074,0.074,0.073,0.073,0.069,0.067,0.065,0.067,0.058,0.059,0.059,0.057,0.075,0.074,0.075,0.075,0.07,0.071,0.068,0.068,0.058,0.059,0.058,0.058,0.075,0.075,0.075,0.074,0.074,0.072,0.068,0.069,0.06,0.059,0.06,0.057,0.074,0.075,0.076,0.076,0.073,0.073,0.072,0.069,0.063,0.059,0.059,0.058
1:30:00,0.082,0.078,0.067,0.071,0.062,0.062,0.058,0.066,0.058,0.058,0.058,0.06,0.09,0.089,0.071,0.071,0.066,0.066,0.064,0.066,0.06,0.061,0.06,0.059,0.099,0.099,0.08,0.074,0.068,0.068,0.065,0.067,0.066,0.06,0.058,0.058,0.104,0.104,0.083,0.083,0.069,0.077,0.066,0.067,0.062,0.061,0.06,0.061,0.111,0.111,0.105,0.106,0.086,0.086,0.077,0.08,0.061,0.06,0.06,0.059,0.111,0.111,0.112,0.11,0.094,0.094,0.087,0.087,0.06,0.061,0.06,0.06,0.112,0.112,0.111,0.11,0.101,0.098,0.09,0.088,0.062,0.062,0.062,0.059,0.111,0.113,0.114,0.115,0.103,0.101,0.096,0.091,0.066,0.062,0.06,0.061
2:10:00,0.096,0.094,0.072,0.078,0.067,0.069,0.065,0.07,0.06,0.062,0.062,0.065,0.115,0.117,0.079,0.077,0.07,0.071,0.069,0.069,0.064,0.065,0.065,0.062,0.16,0.158,0.099,0.089,0.076,0.075,0.072,0.071,0.065,0.064,0.062,0.062,0.172,0.17,0.107,0.108,0.077,0.083,0.072,0.074,0.065,0.065,0.063,0.065,0.187,0.185,0.166,0.17,0.116,0.118,0.093,0.097,0.065,0.065,0.064,0.064,0.184,0.187,0.181,0.176,0.138,0.134,0.123,0.116,0.065,0.066,0.063,0.064,0.19,0.188,0.181,0.18,0.15,0.145,0.124,0.122,0.066,0.066,0.065,0.064,0.188,0.19,0.186,0.188,0.158,0.152,0.135,0.128,0.071,0.066,0.065,0.065
2:50:00,0.11,0.106,0.078,0.086,0.075,0.075,0.066,0.074,0.065,0.066,0.064,0.065,0.141,0.144,0.085,0.082,0.074,0.076,0.073,0.073,0.065,0.068,0.068,0.064,0.231,0.23,0.113,0.099,0.082,0.082,0.077,0.076,0.068,0.066,0.065,0.064,0.254,0.25,0.127,0.127,0.084,0.09,0.077,0.078,0.068,0.067,0.066,0.068,0.281,0.282,0.241,0.255,0.144,0.145,0.107,0.115,0.067,0.068,0.066,0.066,0.281,0.285,0.275,0.264,0.181,0.177,0.151,0.142,0.068,0.069,0.067,0.067,0.284,0.284,0.27,0.27,0.201,0.196,0.155,0.153,0.069,0.069,0.067,0.067,0.285,0.285,0.283,0.272,0.222,0.205,0.177,0.165,0.075,0.07,0.068,0.068
3:30:00,0.124,0.122,0.087,0.09,0.077,0.081,0.068,0.076,0.069,0.067,0.064,0.066,0.164,0.166,0.09,0.089,0.077,0.08,0.075,0.076,0.067,0.069,0.069,0.068,0.327,0.333,0.13,0.114,0.086,0.085,0.081,0.08,0.075,0.068,0.066,0.065,0.364,0.362,0.152,0.147,0.088,0.096,0.081,0.082,0.07,0.069,0.067,0.07,0.4,0.415,0.348,0.377,0.172,0.178,0.121,0.131,0.068,0.07,0.068,0.068,0.405,0.424,0.401,0.389,0.241,0.226,0.19,0.177,0.068,0.072,0.068,0.069,0.416,0.427,0.399,0.395,0.271,0.264,0.197,0.196,0.071,0.071,0.069,0.069,0.436,0.44,0.43,0.39,0.298,0.282,0.243,0.216,0.077,0.072,0.07,0.071
4:10:00,0.139,0.134,0.094,0.096,0.081,0.087,0.071,0.077,0.071,0.07,0.066,0.067,0.195,0.193,0.096,0.091,0.08,0.083,0.077,0.077,0.068,0.069,0.071,0.068,0.442,0.458,0.152,0.127,0.092,0.089,0.085,0.081,0.07,0.069,0.067,0.066,0.508,0.509,0.182,0.176,0.093,0.1,0.083,0.083,0.072,0.069,0.067,0.071,0.608,0.62,0.477,0.519,0.216,0.219,0.132,0.149,0.071,0.07,0.068,0.069,0.601,0.645,0.606,0.58,0.326,0.289,0.227,0.214,0.071,0.073,0.07,0.071,0.636,0.628,0.582,0.576,0.344,0.344,0.255,0.228,0.073,0.073,0.07,0.071,0.671,0.646,0.66,0.601,0.426,0.396,0.321,0.306,0.081,0.076,0.073,0.073
4:50:00,0.15,0.155,0.102,0.101,0.084,0.089,0.071,0.08,0.073,0.073,0.068,0.068,0.261,0.229,0.101,0.093,0.081,0.086,0.079,0.078,0.067,0.07,0.069,0.068,0.646,0.641,0.177,0.145,0.095,0.09,0.086,0.082,0.069,0.068,0.067,0.069,0.732,0.739,0.22,0.208,0.096,0.103,0.084,0.086,0.073,0.069,0.067,0.072,0.799,0.806,0.716,0.753,0.263,0.278,0.147,0.168,0.07,0.071,0.069,0.069,0.817,0.829,0.822,0.793,0.451,0.369,0.288,0.257,0.07,0.073,0.07,0.072,0.821,0.816,0.796,0.784,0.448,0.47,0.336,0.292,0.073,0.073,0.07,0.072,0.837,0.843,0.864,0.82,0.65,0.597,0.406,0.386,0.083,0.076,0.073,0.074
5:30:00,0.182,0.19,0.109,0.109,0.085,0.085,0.079,0.086,0.071,0.069,0.07,0.069,0.308,0.308,0.107,0.094,0.081,0.087,0.08,0.08,0.066,0.07,0.069,0.069,0.833,0.82,0.194,0.154,0.099,0.089,0.086,0.083,0.078,0.067,0.067,0.067,0.896,0.918,0.267,0.246,0.098,0.103,0.085,0.085,0.07,0.067,0.067,0.072,0.982,0.994,0.888,0.936,0.328,0.352,0.162,0.186,0.068,0.069,0.068,0.071,0.995,1.022,1.034,0.991,0.648,0.507,0.396,0.318,0.069,0.073,0.069,0.071,1.006,0.996,0.988,1.005,0.629,0.666,0.455,0.381,0.072,0.073,0.07,0.072,1.02,1.018,1.055,1.013,0.84,0.808,0.637,0.579,0.083,0.078,0.074,0.075
6:10:00,0.208,0.217,0.114,0.112,0.086,0.091,0.087,0.084,0.07,0.07,0.068,0.067,0.364,0.342,0.111,0.095,0.081,0.086,0.079,0.079,0.067,0.069,0.067,0.065,1.021,1.01,0.22,0.17,0.097,0.088,0.085,0.081,0.072,0.066,0.065,0.065,1.116,1.119,0.323,0.298,0.1,0.103,0.084,0.085,0.068,0.066,0.066,0.07,1.197,1.21,1.09,1.174,0.429,0.488,0.17,0.213,0.066,0.069,0.068,0.069,1.201,1.22,1.24,1.222,0.811,0.664,0.57,0.471,0.066,0.071,0.069,0.071,1.206,1.2,1.209,1.219,0.806,0.863,0.67,0.555,0.071,0.072,0.068,0.071,1.212,1.219,1.25,1.223,1.021,0.988,0.79,0.746,0.084,0.079,0.074,0.074
6:50:00,0.228,0.226,0.11,0.111,0.086,0.088,0.083,0.084,0.071,0.068,0.065,0.066,0.432,0.405,0.12,0.105,0.083,0.086,0.077,0.079,0.067,0.067,0.064,0.064,1.228,1.201,0.259,0.195,0.097,0.088,0.081,0.079,0.064,0.063,0.061,0.063,1.294,1.309,0.41,0.375,0.099,0.103,0.083,0.084,0.065,0.064,0.063,0.068,1.35,1.363,1.305,1.346,0.603,0.657,0.193,0.299,0.065,0.067,0.066,0.067,1.345,1.373,1.381,1.372,0.987,0.864,0.719,0.621,0.067,0.071,0.065,0.069,1.347,1.357,1.35,1.361,1.033,1.036,0.795,0.715,0.068,0.071,0.068,0.069,1.349,1.353,1.375,1.352,1.205,1.186,0.961,0.91,0.081,0.077,0.072,0.074
7:30:00,0.243,0.235,0.118,0.113,0.086,0.086,0.082,0.082,0.065,0.064,0.06,0.062,0.512,0.496,0.123,0.106,0.086,0.085,0.076,0.077,0.063,0.063,0.059,0.062,1.36,1.359,0.305,0.216,0.095,0.085,0.079,0.078,0.06,0.06,0.058,0.06,1.399,1.416,0.52,0.446,0.1,0.101,0.082,0.082,0.062,0.064,0.06,0.063,1.435,1.455,1.417,1.442,0.747,0.797,0.24,0.339,0.063,0.063,0.06,0.064,1.43,1.462,1.46,1.456,1.173,1.047,0.887,0.75,0.064,0.067,0.063,0.067,1.431,1.453,1.426,1.441,1.2,1.204,0.953,0.866,0.069,0.069,0.066,0.07,1.428,1.435,1.448,1.428,1.338,1.318,1.141,1.07,0.079,0.074,0.069,0.071
8:10:00,0.254,0.251,0.118,0.118,0.084,0.088,0.076,0.08,0.061,0.063,0.061,0.058,0.602,0.57,0.122,0.103,0.084,0.083,0.071,0.073,0.059,0.059,0.055,0.059,1.438,1.446,0.362,0.234,0.091,0.087,0.074,0.075,0.077,0.057,0.056,0.056,1.463,1.481,0.645,0.547,0.101,0.102,0.079,0.08,0.059,0.06,0.056,0.06,1.485,1.511,1.478,1.491,0.891,0.959,0.289,0.394,0.06,0.06,0.058,0.059,1.48,1.51,1.507,1.508,1.334,1.244,1.068,0.904,0.061,0.064,0.059,0.063,1.465,1.505,1.471,1.486,1.351,1.35,1.117,1.03,0.066,0.067,0.064,0.066,1.462,1.475,1.49,1.482,1.41,1.399,1.286,1.243,0.079,0.072,0.072,0.069
8:50:00,0.263,0.257,0.111,0.111,0.079,0.086,0.072,0.074,0.056,0.057,0.054,0.055,0.687,0.649,0.118,0.102,0.081,0.08,0.07,0.072,0.056,0.057,0.054,0.058,1.486,1.507,0.426,0.26,0.088,0.083,0.07,0.072,0.052,0.054,0.054,0.057,1.492,1.526,0.755,0.677,0.098,0.107,0.076,0.077,0.056,0.057,0.053,0.057,1.514,1.546,1.524,1.54,1.048,1.154,0.325,0.479,0.056,0.057,0.055,0.059,1.507,1.529,1.545,1.553,1.416,1.372,1.241,1.076,0.057,0.06,0.057,0.06,1.507,1.526,1.507,1.527,1.427,1.409,1.271,1.204,0.064,0.063,0.059,0.063,1.502,1.509,1.528,1.526,1.464,1.457,1.37,1.345,0.077,0.074,0.062,0.067
9:30:00,0.264,0.263,0.104,0.102,0.08,0.081,0.066,0.07,0.054,0.055,0.053,0.051,0.783,0.732,0.113,0.102,0.079,0.074,0.065,0.067,0.054,0.053,0.052,0.055,1.52,1.543,0.5,0.29,0.084,0.083,0.069,0.069,0.061,0.051,0.049,0.048,1.536,1.55,0.884,0.81,0.095,0.104,0.073,0.073,0.052,0.054,0.051,0.056,1.553,1.566,1.563,1.581,1.231,1.286,0.377,0.587,0.054,0.054,0.052,0.056,1.547,1.561,1.567,1.584,1.474,1.441,1.351,1.244,0.053,0.059,0.053,0.055,1.548,1.563,1.534,1.56,1.477,1.455,1.337,1.324,0.06,0.06,0.057,0.06,1.545,1.549,1.553,1.566,1.509,1.508,1.426,1.401,0.07,0.066,0.063,0.067
