0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.042,0.043,0.043,0.042,0.042,0.042,0.043,0.045,0.043,0.044,0.044
B,0.045,0.047,0.048,0.047,0.047,0.047,0.046,0.046,0.046,0.047,0.047,0.056
C,0.043,0.046,0.048,0.047,0.047,0.047,0.046,0.047,0.046,0.054,0.047,0.044
D,0.044,0.046,0.047,0.048,0.047,0.048,0.048,0.046,0.047,0.048,0.047,0.051
E,0.044,0.045,0.047,0.047,0.047,0.047,0.047,0.046,0.046,0.048,0.046,0.044
F,0.044,0.045,0.048,0.048,0.048,0.047,0.048,0.047,0.046,0.049,0.045,0.044
G,0.044,0.046,0.046,0.047,0.046,0.05,0.047,0.045,0.046,0.048,0.045,0.045
H,0.044,0.044,0.044,0.045,0.045,0.046,0.044,0.044,0.045,0.049,0.045,0.045
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
B,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
C,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
D,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
E,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
F,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
G,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
H,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,3,4,3,4,3,4,3,4,3,4,3,4
B,3,4,3,4,3,4,3,4,3,4,3,4
C,3,4,3,4,3,4,3,4,3,4,3,4
D,3,4,3,4,3,4,3,4,3,4,3,4
E,3,4,3,4,3,4,3,4,3,4,3,4
F,3,4,3,4,3,4,3,4,3,4,3,4
G,3,4,3,4,3,4,3,4,3,4,3,4
H,3,4,3,4,3,4,3,4,3,4,3,4
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
B,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
C,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
D,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
E,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
F,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
G,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
H,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
