Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0:39:10,0.069,0.071,0.072,0.068,0.068,0.068,0.069,0.07,0.069,0.07,0.069,0.071,0.07,0.069,0.071,0.071,0.072,0.071,0.07,0.071,0.071,0.073,0.072,0.071,0.069,0.07,0.072,0.072,0.072,0.07,0.072,0.071,0.073,0.072,0.072,0.072,0.07,0.072,0.073,0.072,0.074,0.072,0.073,0.074,0.073,0.072,0.072,0.07,0.072,0.07,0.073,0.074,0.072,0.071,0.073,0.072,0.071,0.072,0.07,0.072,0.072,0.071,0.073,0.074,0.072,0.071,0.072,0.075,0.074,0.072,0.071,0.072,0.069,0.071,0.073,0.076,0.075,0.071,0.073,0.073,0.073,0.073,0.073,0.071,0.072,0.071,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.071,0.073,0.073
1:19:10,0.099,0.103,0.104,0.098,0.098,0.099,0.104,0.106,0.104,0.105,0.105,0.106,0.101,0.1,0.104,0.103,0.107,0.102,0.104,0.107,0.106,0.109,0.106,0.105,0.098,0.098,0.101,0.104,0.105,0.101,0.106,0.106,0.108,0.107,0.107,0.106,0.1,0.1,0.102,0.103,0.105,0.103,0.108,0.106,0.108,0.108,0.107,0.103,0.1,0.098,0.103,0.106,0.103,0.103,0.107,0.105,0.103,0.105,0.103,0.107,0.099,0.102,0.101,0.103,0.101,0.103,0.107,0.109,0.107,0.104,0.105,0.104,0.099,0.101,0.101,0.105,0.104,0.1,0.106,0.105,0.106,0.106,0.105,0.103,0.101,0.098,0.1,0.103,0.102,0.099,0.104,0.104,0.105,0.105,0.107,0.108
1:59:10,0.143,0.15,0.145,0.136,0.136,0.131,0.153,0.154,0.147,0.15,0.146,0.143,0.146,0.142,0.14,0.138,0.142,0.139,0.149,0.155,0.15,0.153,0.146,0.143,0.139,0.137,0.129,0.139,0.14,0.135,0.152,0.149,0.151,0.151,0.147,0.145,0.142,0.138,0.137,0.137,0.138,0.135,0.154,0.146,0.153,0.151,0.146,0.137,0.144,0.135,0.135,0.142,0.141,0.143,0.148,0.147,0.145,0.149,0.138,0.141,0.139,0.145,0.136,0.139,0.133,0.137,0.148,0.152,0.147,0.148,0.141,0.141,0.141,0.141,0.139,0.139,0.134,0.13,0.15,0.147,0.145,0.146,0.137,0.134,0.139,0.134,0.129,0.131,0.13,0.13,0.142,0.145,0.144,0.138,0.141,0.136
2:39:10,0.231,0.223,0.206,0.191,0.187,0.173,0.209,0.218,0.211,0.209,0.198,0.189,0.215,0.215,0.191,0.2,0.205,0.199,0.211,0.216,0.212,0.217,0.183,0.186,0.212,0.204,0.193,0.21,0.199,0.174,0.219,0.212,0.218,0.211,0.202,0.188,0.216,0.205,0.196,0.199,0.191,0.197,0.218,0.218,0.204,0.202,0.189,0.186,0.215,0.201,0.187,0.202,0.205,0.19,0.22,0.214,0.206,0.207,0.183,0.18,0.212,0.208,0.191,0.202,0.197,0.191,0.211,0.216,0.209,0.203,0.186,0.184,0.214,0.214,0.199,0.196,0.198,0.185,0.211,0.215,0.204,0.203,0.193,0.172,0.208,0.208,0.188,0.208,0.191,0.196,0.209,0.21,0.2,0.195,0.196,0.189
3:19:10,0.34,0.327,0.322,0.297,0.271,0.268,0.283,0.311,0.28,0.285,0.237,0.229,0.314,0.331,0.299,0.305,0.295,0.289,0.315,0.317,0.293,0.292,0.246,0.231,0.317,0.293,0.287,0.336,0.321,0.276,0.323,0.324,0.332,0.32,0.28,0.312,0.321,0.302,0.309,0.297,0.284,0.284,0.331,0.34,0.318,0.313,0.297,0.301,0.322,0.295,0.314,0.319,0.306,0.299,0.358,0.332,0.316,0.323,0.31,0.315,0.33,0.315,0.305,0.306,0.297,0.289,0.328,0.328,0.333,0.309,0.298,0.3,0.31,0.321,0.304,0.288,0.296,0.284,0.344,0.332,0.322,0.316,0.291,0.259,0.342,0.312,0.292,0.314,0.311,0.291,0.325,0.337,0.319,0.328,0.319,0.303
3:59:10,0.525,0.489,0.483,0.432,0.409,0.425,0.395,0.424,0.365,0.393,0.297,0.284,0.483,0.497,0.479,0.48,0.468,0.443,0.475,0.5,0.45,0.467,0.356,0.32,0.488,0.437,0.457,0.49,0.458,0.455,0.522,0.515,0.517,0.496,0.427,0.406,0.488,0.468,0.483,0.463,0.428,0.459,0.52,0.506,0.512,0.482,0.496,0.441,0.5,0.46,0.457,0.49,0.469,0.48,0.503,0.531,0.489,0.508,0.46,0.451,0.497,0.475,0.472,0.48,0.461,0.467,0.516,0.523,0.515,0.482,0.455,0.433,0.488,0.493,0.452,0.431,0.471,0.458,0.502,0.514,0.487,0.508,0.486,0.464,0.499,0.478,0.497,0.505,0.497,0.465,0.492,0.493,0.486,0.49,0.457,0.472
4:39:10,0.768,0.732,0.787,0.731,0.701,0.703,0.605,0.632,0.479,0.475,0.289,0.273,0.739,0.729,0.767,0.773,0.756,0.737,0.762,0.75,0.626,0.617,0.347,0.331,0.764,0.677,0.737,0.757,0.726,0.758,0.771,0.819,0.826,0.814,0.731,0.665,0.737,0.743,0.779,0.717,0.67,0.731,0.806,0.786,0.817,0.781,0.743,0.729,0.748,0.726,0.759,0.764,0.748,0.777,0.782,0.836,0.81,0.794,0.741,0.734,0.744,0.741,0.764,0.755,0.726,0.752,0.804,0.82,0.83,0.759,0.74,0.696,0.718,0.74,0.707,0.699,0.738,0.725,0.835,0.807,0.763,0.828,0.779,0.679,0.736,0.706,0.771,0.796,0.749,0.73,0.785,0.77,0.75,0.76,0.724,0.731
5:19:10,0.969,0.944,1.011,0.966,0.937,0.927,0.792,0.816,0.614,0.611,0.28,0.259,0.942,0.945,1.001,1.009,1.04,0.963,0.963,0.967,0.757,0.755,0.352,0.327,0.96,0.884,0.967,0.974,0.943,1.011,0.927,1.023,1.054,1.048,0.867,0.861,0.94,0.946,0.995,0.946,0.892,0.941,1.027,1.028,1.047,0.986,0.962,0.906,0.945,0.932,0.992,0.991,0.961,0.968,0.998,1.065,1.027,1.011,0.936,0.954,0.974,0.943,0.974,0.989,0.952,0.96,1.014,1.059,1.028,0.989,0.968,0.895,0.925,0.962,0.962,0.912,0.964,0.95,1.05,1.013,0.99,1.001,0.961,0.939,0.942,0.934,0.978,1.024,0.991,0.962,0.992,0.977,0.969,0.972,0.934,0.965
5:59:10,1.126,1.106,1.173,1.137,1.109,1.138,0.947,0.94,0.68,0.684,0.287,0.258,1.138,1.148,1.198,1.205,1.21,1.174,1.119,1.113,0.871,0.855,0.373,0.34,1.151,1.076,1.174,1.172,1.159,1.214,1.053,1.234,1.244,1.247,1.011,1.001,1.118,1.136,1.206,1.15,1.106,1.155,1.224,1.216,1.249,1.232,1.159,1.14,1.132,1.116,1.198,1.176,1.163,1.208,1.208,1.242,1.223,1.214,1.175,1.156,1.146,1.127,1.171,1.187,1.174,1.174,1.213,1.226,1.223,1.209,1.17,1.108,1.1,1.141,1.148,1.173,1.154,1.15,1.211,1.207,1.183,1.191,1.157,1.111,1.119,1.098,1.162,1.178,1.169,1.191,1.183,1.162,1.174,1.161,1.125,1.145
6:39:10,1.232,1.215,1.256,1.238,1.198,1.239,1.069,1.069,0.756,0.746,0.301,0.262,1.268,1.28,1.312,1.312,1.319,1.294,1.232,1.226,0.993,0.972,0.392,0.369,1.275,1.215,1.308,1.301,1.286,1.326,1.152,1.304,1.32,1.321,1.147,1.14,1.259,1.281,1.307,1.272,1.263,1.284,1.309,1.31,1.325,1.313,1.283,1.262,1.259,1.269,1.315,1.299,1.269,1.311,1.306,1.328,1.301,1.294,1.274,1.263,1.278,1.271,1.305,1.308,1.299,1.292,1.307,1.327,1.307,1.297,1.276,1.245,1.237,1.274,1.289,1.302,1.296,1.285,1.316,1.292,1.287,1.284,1.289,1.248,1.251,1.239,1.278,1.294,1.287,1.284,1.276,1.263,1.286,1.264,1.247,1.248
7:19:10,1.26,1.241,1.288,1.273,1.233,1.268,1.168,1.161,0.836,0.838,0.299,0.254,1.299,1.319,1.338,1.343,1.349,1.331,1.291,1.291,1.118,1.088,0.413,0.381,1.307,1.29,1.344,1.348,1.331,1.358,1.243,1.332,1.352,1.352,1.25,1.225,1.293,1.326,1.35,1.317,1.297,1.322,1.348,1.348,1.357,1.345,1.318,1.285,1.293,1.315,1.35,1.34,1.308,1.343,1.339,1.36,1.338,1.333,1.302,1.29,1.311,1.311,1.342,1.348,1.336,1.322,1.342,1.364,1.346,1.331,1.306,1.279,1.267,1.312,1.33,1.344,1.335,1.326,1.353,1.327,1.321,1.321,1.317,1.27,1.296,1.29,1.313,1.319,1.32,1.321,1.312,1.301,1.319,1.292,1.287,1.282
7:59:10,1.3,1.289,1.321,1.31,1.274,1.302,1.215,1.21,0.952,0.942,0.297,0.248,1.339,1.359,1.374,1.378,1.387,1.366,1.327,1.324,1.196,1.187,0.42,0.385,1.344,1.335,1.379,1.385,1.367,1.401,1.288,1.369,1.381,1.384,1.296,1.261,1.33,1.369,1.388,1.353,1.342,1.358,1.385,1.377,1.387,1.39,1.347,1.317,1.338,1.359,1.386,1.385,1.364,1.381,1.378,1.394,1.373,1.366,1.333,1.339,1.349,1.355,1.373,1.385,1.374,1.356,1.381,1.397,1.374,1.363,1.334,1.34,1.306,1.367,1.363,1.377,1.374,1.379,1.387,1.36,1.355,1.349,1.348,1.312,1.344,1.323,1.344,1.356,1.355,1.362,1.344,1.333,1.354,1.327,1.332,1.323
8:39:10,1.342,1.323,1.355,1.351,1.307,1.338,1.257,1.247,1.022,1.028,0.304,0.25,1.38,1.398,1.408,1.416,1.419,1.409,1.358,1.365,1.249,1.242,0.45,0.403,1.395,1.381,1.425,1.422,1.413,1.434,1.33,1.4,1.413,1.415,1.34,1.3,1.373,1.411,1.424,1.392,1.395,1.393,1.418,1.41,1.42,1.422,1.377,1.359,1.386,1.414,1.423,1.426,1.412,1.417,1.414,1.425,1.406,1.395,1.358,1.361,1.398,1.396,1.409,1.432,1.418,1.407,1.426,1.431,1.406,1.397,1.367,1.37,1.341,1.404,1.396,1.413,1.409,1.396,1.422,1.392,1.389,1.384,1.379,1.338,1.383,1.386,1.38,1.392,1.393,1.393,1.377,1.373,1.385,1.365,1.358,1.368
9:19:10,1.376,1.364,1.392,1.385,1.348,1.371,1.294,1.286,1.078,1.085,0.311,0.255,1.412,1.437,1.438,1.446,1.45,1.437,1.393,1.4,1.31,1.298,0.494,0.43,1.437,1.425,1.457,1.461,1.453,1.466,1.366,1.429,1.441,1.441,1.381,1.345,1.414,1.452,1.459,1.433,1.432,1.442,1.448,1.44,1.447,1.452,1.407,1.384,1.426,1.447,1.457,1.46,1.44,1.451,1.447,1.454,1.43,1.425,1.404,1.388,1.431,1.453,1.441,1.47,1.465,1.444,1.457,1.463,1.434,1.421,1.397,1.394,1.382,1.451,1.432,1.448,1.441,1.44,1.453,1.419,1.416,1.419,1.416,1.374,1.433,1.421,1.418,1.42,1.43,1.429,1.412,1.415,1.42,1.393,1.411,1.401
9:59:10,1.377,1.391,1.413,1.41,1.381,1.398,1.335,1.332,1.128,1.135,0.322,0.26,1.423,1.474,1.465,1.474,1.48,1.468,1.429,1.432,1.366,1.358,0.55,0.468,1.442,1.461,1.486,1.491,1.486,1.497,1.408,1.46,1.473,1.471,1.419,1.402,1.412,1.482,1.484,1.473,1.466,1.477,1.48,1.471,1.476,1.482,1.439,1.414,1.431,1.476,1.484,1.492,1.474,1.482,1.476,1.488,1.458,1.453,1.42,1.437,1.437,1.503,1.468,1.493,1.49,1.475,1.484,1.491,1.463,1.45,1.42,1.449,1.375,1.476,1.451,1.477,1.471,1.459,1.479,1.452,1.452,1.455,1.444,1.441,1.42,1.428,1.442,1.447,1.453,1.452,1.44,1.431,1.452,1.411,1.443,1.438
10:39:10,1.416,1.424,1.43,1.431,1.417,1.424,1.385,1.378,1.185,1.192,0.335,0.264,1.459,1.481,1.488,1.496,1.51,1.498,1.451,1.468,1.428,1.431,0.591,0.511,1.467,1.478,1.515,1.521,1.516,1.529,1.447,1.495,1.503,1.501,1.464,1.426,1.437,1.485,1.511,1.498,1.511,1.508,1.513,1.508,1.511,1.515,1.466,1.44,1.448,1.469,1.507,1.518,1.505,1.514,1.509,1.512,1.489,1.486,1.452,1.455,1.447,1.462,1.487,1.519,1.52,1.493,1.503,1.516,1.488,1.467,1.456,1.465,1.413,1.47,1.475,1.502,1.498,1.471,1.504,1.464,1.467,1.463,1.457,1.452,1.464,1.445,1.454,1.455,1.465,1.454,1.442,1.45,1.452,1.431,1.482,1.485
11:19:10,1.463,1.446,1.464,1.461,1.435,1.444,1.398,1.393,1.246,1.256,0.346,0.267,1.469,1.486,1.509,1.518,1.532,1.527,1.478,1.49,1.451,1.468,0.66,0.555,1.482,1.491,1.527,1.544,1.545,1.561,1.487,1.526,1.529,1.536,1.495,1.451,1.514,1.502,1.524,1.521,1.522,1.531,1.537,1.529,1.53,1.537,1.495,1.469,1.484,1.492,1.52,1.536,1.524,1.528,1.527,1.534,1.504,1.507,1.485,1.483,1.503,1.537,1.511,1.532,1.531,1.523,1.52,1.528,1.509,1.498,1.483,1.502,1.469,1.495,1.495,1.513,1.511,1.501,1.512,1.49,1.505,1.5,1.491,1.464,1.509,1.528,1.487,1.484,1.506,1.487,1.48,1.489,1.487,1.482,1.521,1.488
11:59:10,1.468,1.459,1.488,1.478,1.453,1.473,1.412,1.405,1.296,1.322,0.36,0.273,1.493,1.511,1.517,1.531,1.54,1.537,1.502,1.511,1.483,1.489,0.739,0.613,1.513,1.532,1.55,1.562,1.559,1.566,1.497,1.556,1.553,1.56,1.51,1.475,1.491,1.541,1.549,1.546,1.55,1.557,1.562,1.556,1.557,1.566,1.521,1.501,1.53,1.536,1.546,1.561,1.554,1.554,1.548,1.553,1.539,1.537,1.51,1.495,1.539,1.529,1.542,1.557,1.558,1.551,1.567,1.554,1.547,1.529,1.508,1.517,1.524,1.539,1.521,1.538,1.545,1.54,1.536,1.532,1.542,1.532,1.528,1.517,1.523,1.51,1.527,1.522,1.536,1.521,1.51,1.505,1.525,1.494,1.53,1.502
12:39:10,1.478,1.484,1.506,1.5,1.48,1.485,1.43,1.421,1.322,1.343,0.375,0.279,1.508,1.539,1.543,1.55,1.56,1.56,1.526,1.532,1.518,1.518,0.832,0.672,1.524,1.555,1.579,1.587,1.584,1.59,1.528,1.59,1.58,1.584,1.533,1.506,1.515,1.563,1.576,1.574,1.572,1.586,1.592,1.58,1.588,1.595,1.552,1.528,1.53,1.545,1.574,1.587,1.576,1.583,1.578,1.58,1.569,1.566,1.532,1.539,1.535,1.544,1.569,1.583,1.588,1.574,1.581,1.583,1.572,1.551,1.554,1.547,1.54,1.548,1.548,1.566,1.571,1.563,1.565,1.556,1.559,1.553,1.546,1.52,1.524,1.652,1.546,1.537,1.555,1.537,1.523,1.531,1.548,1.521,1.551,1.527
