0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.048,0.046,0.047,0.047,0.046,0.044,0.045,0.047,0.046,0.048,0.047,0.049
B,0.052,0.045,0.047,0.052,0.05,0.052,0.046,0.049,0.048,0.049,0.047,0.047
C,0.046,0.047,0.048,0.048,0.048,0.051,0.048,0.049,0.048,0.05,0.055,0.048
D,0.051,0.047,0.045,0.047,0.049,0.051,0.05,0.049,0.049,0.051,0.047,0.049
E,0.05,0.048,0.048,0.049,0.051,0.05,0.052,0.05,0.049,0.048,0.047,0.05
F,0.047,0.048,0.047,0.048,0.049,0.048,0.05,0.05,0.05,0.049,0.045,0.049
G,0.047,0.048,0.05,0.048,0.051,0.05,0.047,0.048,0.047,0.047,0.053,0.051
H,0.048,0.048,0.049,0.049,0.049,0.049,0.048,0.052,0.047,0.047,0.047,0.051
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
B,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
C,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
D,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
E,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
F,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
G,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
H,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
B,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
C,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
D,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
E,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
F,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
G,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
H,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131,TH131
