Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0:39:10,0.055,0.054,0.055,0.054,0.054,0.052,0.055,0.055,0.053,0.054,0.053,0.053,0.057,0.055,0.055,0.055,0.056,0.057,0.056,0.056,0.054,0.055,0.055,0.054,0.056,0.057,0.058,0.057,0.056,0.055,0.057,0.057,0.056,0.054,0.055,0.055,0.056,0.057,0.057,0.057,0.056,0.056,0.057,0.058,0.056,0.055,0.054,0.052,0.057,0.056,0.059,0.056,0.056,0.057,0.057,0.057,0.056,0.055,0.054,0.055,0.057,0.057,0.057,0.056,0.056,0.057,0.058,0.057,0.055,0.054,0.054,0.054,0.056,0.056,0.057,0.056,0.056,0.056,0.057,0.056,0.055,0.054,0.054,0.052,0.055,0.057,0.058,0.057,0.06,0.057,0.056,0.056,0.055,0.055,0.054,0.055
1:19:10,0.072,0.07,0.069,0.069,0.065,0.062,0.063,0.064,0.058,0.058,0.056,0.056,0.073,0.069,0.068,0.068,0.065,0.068,0.068,0.064,0.06,0.059,0.058,0.057,0.071,0.072,0.07,0.07,0.067,0.067,0.067,0.068,0.06,0.06,0.059,0.056,0.07,0.071,0.07,0.071,0.067,0.067,0.067,0.067,0.06,0.058,0.059,0.054,0.071,0.069,0.072,0.069,0.067,0.069,0.068,0.068,0.06,0.059,0.056,0.056,0.072,0.071,0.07,0.069,0.067,0.069,0.07,0.068,0.059,0.058,0.056,0.055,0.068,0.069,0.068,0.069,0.067,0.068,0.068,0.068,0.059,0.059,0.056,0.055,0.068,0.071,0.071,0.07,0.07,0.068,0.065,0.065,0.058,0.059,0.056,0.056
1:59:10,0.089,0.089,0.082,0.085,0.073,0.068,0.069,0.065,0.062,0.063,0.061,0.061,0.091,0.086,0.079,0.082,0.074,0.075,0.077,0.072,0.067,0.065,0.064,0.059,0.089,0.092,0.082,0.084,0.08,0.077,0.073,0.078,0.066,0.066,0.064,0.06,0.087,0.09,0.083,0.088,0.074,0.077,0.075,0.072,0.065,0.064,0.063,0.057,0.09,0.086,0.083,0.086,0.081,0.082,0.077,0.08,0.063,0.067,0.062,0.059,0.09,0.087,0.083,0.083,0.078,0.079,0.081,0.077,0.061,0.061,0.061,0.062,0.086,0.086,0.083,0.085,0.082,0.078,0.078,0.073,0.062,0.064,0.059,0.059,0.087,0.086,0.087,0.086,0.082,0.076,0.076,0.079,0.062,0.064,0.06,0.059
2:39:10,0.117,0.114,0.087,0.114,0.08,0.076,0.077,0.072,0.06,0.062,0.061,0.059,0.121,0.116,0.087,0.093,0.076,0.083,0.088,0.08,0.068,0.065,0.065,0.062,0.123,0.122,0.1,0.093,0.085,0.08,0.079,0.083,0.069,0.069,0.066,0.059,0.122,0.123,0.096,0.107,0.076,0.086,0.083,0.083,0.068,0.064,0.066,0.06,0.125,0.122,0.106,0.111,0.096,0.102,0.089,0.091,0.066,0.069,0.064,0.059,0.128,0.122,0.104,0.112,0.094,0.094,0.097,0.09,0.064,0.067,0.06,0.057,0.117,0.119,0.109,0.108,0.096,0.099,0.093,0.086,0.065,0.066,0.061,0.06,0.117,0.125,0.112,0.108,0.099,0.097,0.087,0.082,0.064,0.068,0.062,0.062
3:19:10,0.157,0.156,0.09,0.146,0.078,0.077,0.074,0.067,0.063,0.06,0.058,0.059,0.159,0.155,0.094,0.089,0.074,0.079,0.083,0.073,0.067,0.065,0.063,0.061,0.169,0.169,0.111,0.099,0.086,0.078,0.075,0.082,0.069,0.069,0.065,0.059,0.181,0.18,0.123,0.129,0.087,0.092,0.081,0.081,0.065,0.064,0.065,0.058,0.179,0.177,0.146,0.14,0.095,0.118,0.096,0.087,0.064,0.068,0.063,0.063,0.187,0.182,0.146,0.14,0.115,0.101,0.107,0.096,0.065,0.064,0.063,0.057,0.175,0.182,0.159,0.162,0.117,0.113,0.105,0.095,0.064,0.066,0.06,0.058,0.18,0.177,0.16,0.154,0.121,0.119,0.113,0.094,0.064,0.067,0.061,0.061
3:59:10,0.201,0.206,0.087,0.195,0.067,0.068,0.064,0.07,0.06,0.058,0.054,0.055,0.23,0.238,0.087,0.09,0.067,0.075,0.077,0.07,0.066,0.064,0.063,0.058,0.249,0.263,0.13,0.14,0.078,0.075,0.069,0.074,0.069,0.067,0.065,0.057,0.265,0.273,0.166,0.182,0.075,0.082,0.073,0.076,0.064,0.062,0.064,0.057,0.275,0.286,0.226,0.224,0.121,0.11,0.09,0.085,0.065,0.064,0.062,0.057,0.287,0.286,0.242,0.235,0.13,0.113,0.105,0.102,0.063,0.064,0.059,0.059,0.268,0.29,0.253,0.269,0.158,0.145,0.125,0.098,0.063,0.064,0.061,0.059,0.281,0.269,0.253,0.252,0.193,0.14,0.127,0.114,0.065,0.067,0.06,0.061
4:39:10,0.281,0.271,0.079,0.258,0.063,0.065,0.064,0.06,0.057,0.057,0.057,0.057,0.334,0.347,0.082,0.089,0.064,0.066,0.069,0.062,0.065,0.064,0.059,0.059,0.386,0.41,0.172,0.216,0.069,0.066,0.063,0.068,0.065,0.066,0.063,0.058,0.402,0.435,0.243,0.286,0.072,0.074,0.067,0.071,0.062,0.06,0.063,0.054,0.415,0.436,0.351,0.385,0.134,0.122,0.092,0.085,0.062,0.064,0.06,0.058,0.438,0.445,0.381,0.387,0.151,0.137,0.111,0.097,0.061,0.062,0.057,0.056,0.411,0.442,0.405,0.399,0.212,0.195,0.137,0.105,0.061,0.061,0.059,0.057,0.419,0.414,0.41,0.397,0.263,0.203,0.167,0.129,0.063,0.063,0.058,0.067
5:19:10,0.372,0.362,0.076,0.376,0.058,0.058,0.056,0.06,0.056,0.056,0.057,0.053,0.455,0.493,0.072,0.088,0.058,0.062,0.066,0.058,0.062,0.061,0.06,0.054,0.611,0.658,0.206,0.276,0.066,0.061,0.06,0.063,0.063,0.063,0.061,0.055,0.635,0.679,0.329,0.377,0.069,0.075,0.064,0.063,0.06,0.059,0.06,0.054,0.651,0.705,0.531,0.609,0.16,0.13,0.088,0.081,0.061,0.062,0.058,0.052,0.677,0.688,0.655,0.622,0.186,0.161,0.116,0.089,0.059,0.059,0.056,0.053,0.64,0.732,0.668,0.658,0.264,0.247,0.151,0.096,0.059,0.058,0.055,0.053,0.639,0.652,0.658,0.659,0.345,0.282,0.208,0.145,0.058,0.061,0.056,0.057
5:59:10,0.509,0.51,0.069,0.495,0.052,0.053,0.051,0.054,0.052,0.054,0.051,0.049,0.687,0.721,0.067,0.085,0.053,0.055,0.06,0.053,0.059,0.057,0.057,0.051,0.808,0.851,0.246,0.331,0.06,0.056,0.056,0.058,0.059,0.059,0.057,0.052,0.852,0.879,0.39,0.606,0.065,0.067,0.058,0.06,0.057,0.057,0.057,0.051,0.88,0.889,0.749,0.793,0.2,0.147,0.089,0.08,0.057,0.06,0.055,0.054,0.877,0.884,0.825,0.815,0.194,0.178,0.111,0.083,0.056,0.057,0.054,0.05,0.838,0.905,0.848,0.836,0.319,0.276,0.149,0.104,0.055,0.055,0.052,0.05,0.838,0.838,0.852,0.865,0.473,0.327,0.21,0.147,0.055,0.059,0.049,0.053
6:39:10,0.633,0.621,0.061,0.597,0.048,0.047,0.043,0.05,0.048,0.05,0.048,0.046,0.825,0.866,0.063,0.082,0.05,0.052,0.055,0.05,0.055,0.055,0.053,0.048,0.966,1.011,0.284,0.448,0.058,0.055,0.053,0.055,0.057,0.056,0.054,0.048,1.021,1.022,0.594,0.729,0.062,0.061,0.054,0.055,0.054,0.054,0.055,0.047,1.051,1.047,0.889,0.96,0.24,0.148,0.084,0.07,0.054,0.055,0.051,0.046,1.041,1.042,1.011,0.99,0.219,0.205,0.11,0.077,0.053,0.053,0.051,0.047,1.01,1.072,1.034,1.009,0.437,0.332,0.149,0.09,0.052,0.052,0.048,0.048,1,0.999,1.044,1.043,0.582,0.398,0.21,0.138,0.051,0.055,0.046,0.048
