0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.041,0.044,0.044,0.045,0.044,0.043,0.045,0.043,0.042,0.045,0.045
B,0.046,0.044,0.043,0.042,0.046,0.047,0.046,0.046,0.044,0.044,0.048,0.049
C,0.043,0.044,0.045,0.044,0.045,0.042,0.046,0.044,0.044,0.044,0.045,0.044
D,0.044,0.043,0.046,0.045,0.043,0.042,0.045,0.045,0.044,0.044,0.044,0.044
E,0.045,0.044,0.045,0.045,0.045,0.048,0.047,0.048,0.049,0.045,0.044,0.047
F,0.045,0.045,0.046,0.043,0.044,0.045,0.047,0.047,0.045,0.045,0.046,0.045
G,0.043,0.043,0.046,0.046,0.043,0.043,0.045,0.044,0.047,0.045,0.046,0.043
H,0.041,0.043,0.043,0.046,0.049,0.042,0.041,0.042,0.043,0.046,0.043,0.044
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
B,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
C,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
D,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
E,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
F,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
G,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
H,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
B,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
C,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
D,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
E,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
F,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
G,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
H,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
