0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.02,0.018,0.019,0.017,0.017,0.016,0.017,0.017,0.016,0.016,0.017,0.017
B,0.018,0.02,0.018,0.018,0.019,0.02,0.017,0.018,0.018,0.017,0.017,0.017
C,0.017,0.019,0.019,0.018,0.018,0.017,0.019,0.018,0.018,0.016,0.016,0.015
D,0.017,0.017,0.017,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016
E,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.016
F,0.018,0.018,0.017,0.019,0.017,0.018,0.018,0.018,0.018,0.018,0.016,0.016
G,0.017,0.018,0.018,0.018,0.017,0.018,0.018,0.019,0.018,0.017,0.017,0.017
H,0.017,0.017,0.017,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
B,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
C,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
D,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
E,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
F,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
G,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
H,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245,TH245
